"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B07HKX73TT","B01JN1JMRS","15 Ft Extension Cord with 3 Electrical Power Outlet - 16/3 Durable Black Cable","PL-IFC-163B15P3","50","0.08%","59","0.08%","98%","22","8","44.00%","16.00%","$304.25","$111.34","17","3"
"B08T6MGFL7","B01JN1JTR6","10 Ft Outdoor Extension Cord with Power Block - 16/3 Durable Green Cable - Great for Powering Outdoor Decorations","PL-IFC-163G10PB","94","0.16%","117","0.15%","100%","81","4","86.17%","4.26%","$1,051.19","$51.80","68","3"
"B08LQNDYLP","B06XDSX9WX","Office Desk Pad, Clear Textured Desk Mat - 36 x 16.5” Inch Plastic Full Desk Mouse Pad, Computer Desk Mat for Home or Office (36 x 16.5” Inch, Clear)","PL-IL-DM17X36RW","130","0.22%","151","0.20%","100%","12","4","9.23%","3.08%","$203.88","$67.96","11","3"
"B0862HTHDL","B06Y174PRX","Play Platoon Kids Activity Table Set - 5 in 1 Water Table, Building Block Table, Craft Table and Sensory Table with Storage - Includes 2 Chairs and 25 Ex-Large Blocks – Primary Colors","PL-PP-B20X20T-RBYG","578","0.98%","789","1.02%","96%","70","3","12.11%","0.52%","$4,417.96","$194.91","70","3"
"B07MZHC7DW","B073WLD7ZZ","Wooden A-Frame Sign with Eraser & Chalk - 40 x 20 Inches Magnetic Sidewalk Chalkboard – Sturdy Freestanding Sandwich Board Menu Display for Restaurant, Business or Wedding","PL-IL-MB-CHR","96","0.16%","121","0.16%","85%","18","3","18.75%","3.13%","$1,295.82","$215.97","17","3"
"B07MZHC7DW","B073WLS4TS","Wooden A-Frame Sign with Eraser & Chalk - 40 x 20 Inches Magnetic Sidewalk Chalkboard – Sturdy Freestanding Grey Sandwich Board Menu Display for Restaurant, Business or Wedding","PL-IL-MB-WH","186","0.31%","228","0.30%","91%","27","4","14.52%","2.15%","$1,836.21","$273.39","19","3"
"B08V5JGK9W","B074TKXH88","40 Ft Retractable Extension Cord Reel - 2 in 1 Mountable & Portable Power Cord Reel with 3 Electrical Outlets - 12/3 SJTW Heavy Duty Yellow Cable - Perfect for Hanging from Your Garage Ceiling","PL-IFC-123CR40","127","0.21%","166","0.21%","99%","20","4","15.75%","3.15%","$1,731.00","$346.20","17","3"
"B08ZDSVDQN","B078KFMGP4","25 Foot Lighted Outdoor Extension Cord - 10/3 SJTW Yellow 10 Gauge Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","PL-IFC-103Y25","313","0.53%","512","0.66%","100%","93","4","29.71%","1.28%","$4,543.27","$188.94","79","3"
"B07HKN6H6V","B078KG2ND4","25 Ft Black Oil Resistant Extension Cord with 3 Electrical Power Outlets for Farms and Ranches - 14/3 SJTOW Heavy Duty Cable with 3 Prong Grounded Plug for Safety","PL-IFC-143B25P","56","0.09%","80","0.10%","100%","30","10","53.57%","17.86%","$616.51","$160.10","19","3"
"B01LR30Y6S","B07DRP3QNF","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Halloween Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Orange & 4 Black","PL-PP-CH-ORBK-B","132","0.22%","156","0.20%","100%","52","13","39.39%","9.85%","$1,078.75","$269.55","40","3"
"B01LXCI1Z4","B07FF4PZVJ","Ilyapa Office Chair Mat for Hard Floors 2 Pack 36"" x 48"" Heavy Duty Clear, PVC Chair Mat for Hardwood and Tile Floors, Protective Floor Mat for Home or Office","PL-IL-CM36X48RW-2PK-FN-RL","122","0.21%","171","0.22%","100%","44","4","36.07%","3.28%","$1,732.59","$159.96","37","3"
"B07YG87V1X","B07FFBN8NN","Ilyapa 18 Pack Matte Black Door Hinges - 3.5 x 3.5 Inch Interior Hinges for Doors Flat Black with 5/8"" Radius Corners","PL-IL-DH35-BK18","223","0.38%","322","0.42%","99%","157","6","70.40%","2.69%","$4,421.24","$171.23","103","3"
"B082T5WXL5","B07G1D8VV1","30 Ft Extension Cord Reel with 4 Electrical Power Outlets - 14/3 SJTW Heavy Duty Orange Cable","PL-IFC-143CR30HD-ORBK","155","0.26%","214","0.28%","94%","27","3","17.42%","1.94%","$1,017.40","$114.28","26","3"
"B08TX143GX","B07H8PMHQ2","Ilyapa 16 Ounce Clear Swing Top Glass Beer Bottles for Home Brewing - Carbonated Drinks, Kombucha, Kefir, Soda, Juice, Fermentation, 12 Pack Glass Bottle with Airtight Rubber Seal Flip Caps","PL-IL-BTL16C-12-A","175","0.30%","230","0.30%","100%","105","4","60.00%","2.29%","$2,939.61","$112.96","86","3"
"B01LR30Y6S","B07LGCLRVL","Weather Resistant Cornhole Bean Bags Set of 8 - Red & Navy Blue","PL-PP-CH-RENB","202","0.34%","258","0.33%","89%","100","3","49.50%","1.49%","$1,850.43","$55.50","82","3"
"B07HKRM7YL","B07VKPLP5L","2 Pack of 6 Ft Extension Cords with 3 Electrical Power Outlets - 16/3 Durable White Cable","PL-IFC-163W06P3-PK2","15","0.03%","21","0.03%","100%","8","3","53.33%","20.00%","$132.43","$49.52","8","3"
